airline,airline ID,source airport,source airport id,destination airport,destination airport id,codeshare,stops,equipment,source coords,destination coords
AH,794,AAE,220,ALG,210,,0,738 ATR 736,"(24, 5)","(18, -13)"
AH,794,AAE,220,CDG,1382,,0,738,"(24, 5)","(60, -76)"
AH,794,AAE,220,IST,1701,,0,738,"(24, 5)","(-28, 83)"
AH,794,AAE,220,LYS,1335,,0,738,"(24, 5)","(-11, -9)"
AH,794,AAE,220,MRS,1353,,0,738,"(24, 5)","(-48, 145)"
ZI,21,AAE,220,MRS,1353,,0,319,"(24, 5)","(-48, 145)"
AH,794,AAE,220,ORN,231,,0,ATR,"(24, 5)","(-13, -134)"
AH,794,AAE,220,ORY,1386,,0,736,"(24, 5)","(36, -55)"
ZI,21,AAE,220,ORY,1386,,0,319,"(24, 5)","(36, -55)"
BA,1355,AAL,628,AAR,607,Y,0,FRJ,"(76, -149)","(22, -129)"
DY,3737,AAL,628,AGP,1230,,0,73H,"(76, -149)","(-88, 48)"
DY,3737,AAL,628,ALC,1212,,0,73H,"(76, -149)","(31, -154)"
AZ,596,AAL,628,AMS,580,Y,0,E90,"(76, -149)","(-87, -95)"
KL,3090,AAL,628,AMS,580,Y,0,EMJ F70,"(76, -149)","(-87, -95)"
SK,4319,AAL,628,ARN,737,,0,S20,"(76, -149)","(13, -78)"
IB,2822,AAL,628,BCN,1218,Y,0,320,"(76, -149)","(27, 94)"
VY,2439,AAL,628,BCN,1218,,0,320,"(76, -149)","(27, 94)"
DX,1954,AAL,628,BLL,608,,0,SF3,"(76, -149)","(5, 25)"
SK,4319,AAL,628,BLL,608,,0,319,"(76, -149)","(5, 25)"
TK,4951,AAL,628,BLL,608,,0,319,"(76, -149)","(5, 25)"
DY,3737,AAL,628,CPH,609,,0,73H AT7,"(76, -149)","(85, -135)"
SK,4319,AAL,628,CPH,609,,0,320 319 CR2 CR9 321,"(76, -149)","(85, -135)"
TK,4951,AAL,628,IST,1701,,0,319 738,"(76, -149)","(-28, 83)"
DY,3737,AAL,628,LGW,502,,0,73H,"(76, -149)","(-23, -25)"
BA,1355,AAL,628,OSL,644,Y,0,J31 FRJ,"(76, -149)","(-82, -60)"
M3,42,AAL,628,OSL,644,,0,SWM,"(76, -149)","(-82, -60)"
SK,4319,AAL,628,OSL,644,,0,73H 73G,"(76, -149)","(-82, -60)"
DY,3737,AAL,628,PMI,3998,,0,73H,"(76, -149)","(-45, -61)"
DX,1954,AAL,628,SVG,666,,0,SF3,"(76, -149)","(-15, -106)"
IX,569,AAN,5937,CCJ,3137,,0,738,"(-51, 171)","(16, -107)"
NL,4311,AAN,5937,PEW,2219,,0,734,"(-51, 171)","(-70, 81)"
S7,4329,AAQ,4353,DME,4029,,0,320,"(2, 60)","(-65, -115)"
SU,130,AAQ,4353,LED,2948,,0,320 319,"(2, 60)","(81, -171)"
SU,130,AAQ,4353,SVO,2985,,0,320 319,"(2, 60)","(-79, 47)"
BA,1355,AAR,607,AAL,628,Y,0,FRJ,"(22, -129)","(76, -149)"
FR,4296,AAR,607,AGP,1230,,0,738,"(22, -129)","(-88, 48)"
BA,1355,AAR,607,BMA,738,Y,0,FRJ,"(22, -129)","(2, 112)"
SK,4319,AAR,607,CPH,609,,0,AT7 320 CR2,"(22, -129)","(85, -135)"
BA,1355,AAR,607,GOT,687,Y,0,FRJ,"(22, -129)","(-45, -130)"
BA,1355,AAR,607,OSL,644,Y,0,FRJ,"(22, -129)","(-82, -60)"
FR,4296,AAR,607,PMI,3998,,0,738,"(22, -129)","(-45, -61)"
FR,4296,AAR,607,STN,548,,0,738,"(22, -129)","(57, 98)"
CZ,1767,AAT,6946,URC,3399,,0,73G E90,"(77, 153)","(20, 49)"
GS,690,AAT,6946,URC,3399,,0,E90,"(77, 153)","(20, 49)"
AD,13983,AAX,7395,POJ,8237,,0,AT4,"(36, -136)","(37, 144)"
FO,476,AAY,3979,SAH,3980,,0,CR7,"(72, 86)","(-86, -168)"
S7,4329,ABA,2955,DME,4029,,0,320,"(65, 22)","(-65, -115)"
IOS,2951,ABA,2955,IKT,2937,,0,AN4,"(65, 22)","(-13, 85)"
Y7,13088,ABA,2955,NSK,4352,,0,738,"(65, 22)","(-24, -172)"
SU,130,ABA,2955,SVO,2985,,0,320,"(65, 22)","(-79, 47)"
W3,20976,ABB,\N,ABV,260,,0,73G,"(78, 127)","(-6, 68)"
W3,20976,ABB,\N,LOS,273,,0,73G,"(78, 127)","(37, -10)"
B9,543,ABD,2097,MHD,4331,,0,M82,"(34, 20)","(64, -85)"
IR,2922,ABD,2097,MHD,4331,,0,100 M82,"(34, 20)","(64, -85)"
EP,2923,ABD,2097,SYZ,2157,,0,100,"(34, 20)","(-23, 109)"
B9,543,ABD,2097,THR,2131,,0,M82,"(34, 20)","(80, -157)"
EP,2923,ABD,2097,THR,2131,,0,100,"(34, 20)","(80, -157)"
IR,2922,ABD,2097,THR,2131,,0,M82 100,"(34, 20)","(80, -157)"
AF,137,ABE,4355,ATL,3682,Y,0,CRJ,"(42, -67)","(28, 49)"
DL,2009,ABE,4355,ATL,3682,,0,717,"(42, -67)","(28, 49)"
KL,3090,ABE,4355,ATL,3682,Y,0,CRJ,"(42, -67)","(28, 49)"
AA,24,ABE,4355,CLT,3876,Y,0,CR9 CR7 CRJ,"(42, -67)","(-51, -6)"
US,5265,ABE,4355,CLT,3876,Y,0,CR9 CR7 CRJ,"(42, -67)","(-51, -6)"
DL,2009,ABE,4355,DTW,3645,Y,0,CRJ,"(42, -67)","(-62, -175)"
G4,35,ABE,4355,MYR,3515,,0,M80,"(42, -67)","(34, -164)"
UA,5209,ABE,4355,ORD,3830,Y,0,ER4 ERJ,"(42, -67)","(-49, 50)"
G4,35,ABE,4355,PGD,7056,,0,M80,"(42, -67)","(53, -37)"
AA,24,ABE,4355,PHL,3752,,0,DH3,"(42, -67)","(-60, -11)"
US,5265,ABE,4355,PHL,3752,Y,0,CRJ DH8,"(42, -67)","(-60, -11)"
G4,35,ABE,4355,PIE,3617,,0,M80 320,"(42, -67)","(-20, -137)"
G4,35,ABE,4355,SFB,4167,,0,320 M80,"(42, -67)","(18, -120)"
AA,24,ABI,3718,DFW,3670,Y,0,ERD ER4 CRJ,"(-53, -53)","(45, -163)"
US,5265,ABI,3718,DFW,3670,,0,ERD ER4,"(-53, -53)","(45, -163)"
E2,20047,ABJ,253,ACC,248,,0,M82,"(0, 78)","(8, -129)"
EK,2183,ABJ,253,ACC,248,,0,77W,"(0, 78)","(8, -129)"
HF,2682,ABJ,253,ACC,248,,0,E70 319,"(0, 78)","(8, -129)"
ME,3490,ABJ,253,ACC,248,,0,332,"(0, 78)","(8, -129)"
MS,2143,ABJ,253,ACC,248,,0,738,"(0, 78)","(8, -129)"
S9,17099,ABJ,253,ACC,248,,0,143,"(0, 78)","(8, -129)"
SA,4305,ABJ,253,ACC,248,,0,332,"(0, 78)","(8, -129)"
AH,794,ABJ,253,ALG,210,,0,738,"(0, 78)","(18, -13)"
HF,2682,ABJ,253,BKO,1044,,0,319,"(0, 78)","(62, 1)"
L6,16942,ABJ,253,BKO,1044,,0,73G,"(0, 78)","(62, 1)"
2J,470,ABJ,253,BOY,247,,0,CRJ,"(0, 78)","(-90, -91)"
AC,330,ABJ,253,BRU,302,,1,333,"(0, 78)","(14, 169)"
LH,3320,ABJ,253,BRU,302,Y,0,332,"(0, 78)","(14, 169)"
SN,1531,ABJ,253,BRU,302,,0,332 333,"(0, 78)","(14, 169)"
UA,5209,ABJ,253,BRU,302,Y,0,332,"(0, 78)","(14, 169)"
AF,137,ABJ,253,CDG,1382,,0,772,"(0, 78)","(60, -76)"
AZ,596,ABJ,253,CDG,1382,Y,0,772,"(0, 78)","(60, -76)"
ET,2220,ABJ,253,CKY,4162,,0,DH8,"(0, 78)","(29, -171)"
HF,2682,ABJ,253,CKY,4162,,0,E70,"(0, 78)","(29, -171)"
AT,4248,ABJ,253,CMN,1074,,0,738 73G,"(0, 78)","(58, -133)"
DN,17094,ABJ,253,COO,245,,0,320,"(0, 78)","(33, -150)"
ET,2220,ABJ,253,COO,245,,0,73W 752,"(0, 78)","(33, -150)"
L6,16942,ABJ,253,COO,245,,0,73G,"(0, 78)","(33, -150)"
DN,17094,ABJ,253,DKR,1084,,0,320,"(0, 78)","(33, -146)"
HF,2682,ABJ,253,DKR,1084,,0,319,"(0, 78)","(33, -146)"
KQ,3126,ABJ,253,DKR,1084,,0,73W 738,"(0, 78)","(33, -146)"
HF,2682,ABJ,253,DLA,897,,0,319,"(0, 78)","(22, -71)"
E2,20047,ABJ,253,FNA,1059,,0,M82,"(0, 78)","(56, -66)"
TK,4951,ABJ,253,IST,1701,,0,739,"(0, 78)","(-28, 83)"
HF,2682,ABJ,253,LBV,970,,0,319,"(0, 78)","(-13, 137)"
ET,2220,ABJ,253,LFW,298,,0,DH8,"(0, 78)","(77, 179)"
HF,2682,ABJ,253,LFW,298,,0,E70 319,"(0, 78)","(77, 179)"
LH,3320,ABJ,253,LFW,298,Y,0,333,"(0, 78)","(77, 179)"
SN,1531,ABJ,253,LFW,298,,0,333,"(0, 78)","(77, 179)"
UA,5209,ABJ,253,LFW,298,Y,0,333,"(0, 78)","(77, 179)"
ET,2220,ABJ,253,LOS,273,Y,0,DH8,"(0, 78)","(37, -10)"
ME,3490,ABJ,253,LOS,273,,0,332,"(0, 78)","(37, -10)"
QC,16415,ABJ,253,LOS,273,,0,737,"(0, 78)","(37, -10)"
W3,20976,ABJ,253,LOS,273,,0,CR9,"(0, 78)","(37, -10)"
KQ,3126,ABJ,253,NBO,4059,,0,73W 738,"(0, 78)","(-39, -13)"
SS,1908,ABJ,253,ORY,1386,,0,333,"(0, 78)","(36, -55)"
2J,470,ABJ,253,OUA,246,,0,E70 CRJ M87,"(0, 78)","(59, -21)"
AC,330,ABJ,253,OUA,246,Y,0,332,"(0, 78)","(59, -21)"
ET,2220,ABJ,253,OUA,246,,0,752,"(0, 78)","(59, -21)"
HF,2682,ABJ,253,OUA,246,,0,E70,"(0, 78)","(59, -21)"
LH,3320,ABJ,253,OUA,246,Y,0,333,"(0, 78)","(59, -21)"
SN,1531,ABJ,253,OUA,246,,0,333,"(0, 78)","(59, -21)"
UA,5209,ABJ,253,OUA,246,Y,0,333,"(0, 78)","(59, -21)"
E2,20047,ABJ,253,ROB,1063,,0,M82,"(0, 78)","(-78, 107)"
TU,4870,ABJ,253,TUN,287,,0,320,"(0, 78)","(-39, 25)"
7H,16726,ABL,7177,OTZ,3693,Y,0,CNC,"(-24, -180)","(86, 91)"
8E,1472,ABL,7177,OTZ,3693,,0,CNC,"(-24, -180)","(86, 91)"
7H,16726,ABL,7177,SHG,7117,Y,0,CNC,"(-24, -180)","(-65, -18)"
8E,1472,ABL,7177,SHG,7117,,0,CNC,"(-24, -180)","(-65, -18)"
Q6,753,ABM,3318,CNS,3322,,0,DH1,"(-70, 120)","(-46, 94)"
AF,137,ABQ,4019,ATL,3682,Y,0,757 320,"(61, -122)","(28, 49)"
AZ,596,ABQ,4019,ATL,3682,Y,0,757,"(61, -122)","(28, 49)"
DL,2009,ABQ,4019,ATL,3682,,0,757 320,"(61, -122)","(28, 49)"
KL,3090,ABQ,4019,ATL,3682,Y,0,757 320,"(61, -122)","(28, 49)"
VS,5347,ABQ,4019,ATL,3682,Y,0,757 320,"(61, -122)","(28, 49)"
WN,4547,ABQ,4019,BWI,3849,,0,73W,"(61, -122)","(32, -87)"
LW,3865,ABQ,4019,CNM,3597,,0,CNC,"(61, -122)","(53, -89)"
WN,4547,ABQ,4019,DAL,3502,,0,73W 73C 733 735,"(61, -122)","(-62, -31)"
FL,1316,ABQ,4019,DEN,3751,Y,0,73W,"(61, -122)","(87, 105)"
UA,5209,ABQ,4019,DEN,3751,Y,0,CR7 DH4 CRJ E70,"(61, -122)","(87, 105)"
WN,4547,ABQ,4019,DEN,3751,,0,73W 73C,"(61, -122)","(87, 105)"
AA,24,ABQ,4019,DFW,3670,,0,M83 M80,"(61, -122)","(45, -163)"
US,5265,ABQ,4019,DFW,3670,,0,M83 M80,"(61, -122)","(45, -163)"
WN,4547,ABQ,4019,HOU,3566,,0,73W 735 73C,"(61, -122)","(-44, 171)"
UA,5209,ABQ,4019,IAH,3550,,0,320 738,"(61, -122)","(-46, 91)"
B6,3029,ABQ,4019,JFK,3797,,0,320,"(61, -122)","(-43, -105)"
LW,3865,ABQ,4019,LAM,7584,,0,CNC,"(61, -122)","(27, 160)"
FL,1316,ABQ,4019,LAS,3877,Y,0,73W,"(61, -122)","(-38, -69)"
WN,4547,ABQ,4019,LAS,3877,,0,73C 73W 733,"(61, -122)","(-38, -69)"
AA,24,ABQ,4019,LAX,3484,Y,0,CR7 CRJ,"(61, -122)","(83, -23)"
AS,439,ABQ,4019,LAX,3484,Y,0,CR7 CRJ,"(61, -122)","(83, -23)"
UA,5209,ABQ,4019,LAX,3484,Y,0,CRJ,"(61, -122)","(83, -23)"
US,5265,ABQ,4019,LAX,3484,Y,0,CR7 CRJ,"(61, -122)","(83, -23)"
WN,4547,ABQ,4019,LAX,3484,,0,73C 73W,"(61, -122)","(83, -23)"
FL,1316,ABQ,4019,MCI,3458,Y,0,73W,"(61, -122)","(-6, -90)"
WN,4547,ABQ,4019,MCI,3458,,0,73W 73C,"(61, -122)","(-6, -90)"
FL,1316,ABQ,4019,MDW,3747,Y,0,73W,"(61, -122)","(50, 156)"
WN,4547,ABQ,4019,MDW,3747,,0,73W,"(61, -122)","(50, 156)"
DL,2009,ABQ,4019,MSP,3858,,0,320,"(61, -122)","(15, 57)"
WN,4547,ABQ,4019,OAK,3453,,0,73W 733 73C,"(61, -122)","(45, 54)"
AA,24,ABQ,4019,ORD,3830,Y,0,E75,"(61, -122)","(-49, 50)"
UA,5209,ABQ,4019,ORD,3830,Y,0,CR7 E70,"(61, -122)","(-49, 50)"
US,5265,ABQ,4019,ORD,3830,,0,E75,"(61, -122)","(-49, 50)"
FL,1316,ABQ,4019,PDX,3720,Y,0,73W,"(61, -122)","(-25, -120)"
WN,4547,ABQ,4019,PDX,3720,,0,73W,"(61, -122)","(-25, -120)"
AA,24,ABQ,4019,PHX,3462,Y,0,CRJ CR9,"(61, -122)","(63, 22)"
US,5265,ABQ,4019,PHX,3462,Y,0,CRJ CR9,"(61, -122)","(63, 22)"
WN,4547,ABQ,4019,PHX,3462,,0,73W 733 73C,"(61, -122)","(63, 22)"
WN,4547,ABQ,4019,SAN,3731,,0,73C 733 73W,"(61, -122)","(53, -52)"
WN,4547,ABQ,4019,SEA,3577,,0,73W,"(61, -122)","(8, -114)"
UA,5209,ABQ,4019,SFO,3469,Y,0,CRJ,"(61, -122)","(52, 174)"
DL,2009,ABQ,4019,SLC,3536,Y,0,CR9 CR7,"(61, -122)","(-71, -77)"
DL,2009,ABR,5714,MSP,3858,Y,0,CRJ,"(73, 74)","(15, 57)"
MS,2143,ABS,1127,ASW,1136,,0,E70,"(-26, 179)","(-18, -162)"
SV,4533,ABT,2061,DMM,2064,,0,320,"(-39, -105)","(81, -134)"
SV,4533,ABT,2061,JED,2072,,0,320,"(-39, -105)","(18, -12)"
SV,4533,ABT,2061,RUH,2082,,0,320,"(-39, -105)","(-73, -40)"
W3,20976,ABV,260,ABB,\N,,0,73G,"(-6, 68)","(78, 127)"
W3,20976,ABV,260,ACC,248,,0,CR9,"(-6, 68)","(8, -129)"
ET,2220,ABV,260,ADD,1107,,0,77L,"(-6, 68)","(-41, -25)"
W3,20976,ABV,260,BNI,262,,0,CR9 73G,"(-6, 68)","(18, -3)"
MS,2143,ABV,260,CAI,1128,,0,738,"(-6, 68)","(-53, 40)"
W3,20976,ABV,260,CBQ,263,,0,73G,"(-6, 68)","(-66, 162)"
AF,137,ABV,260,CDG,1382,,0,332,"(-6, 68)","(60, -76)"
DL,2009,ABV,260,CDG,1382,Y,0,332,"(-6, 68)","(60, -76)"
KL,3090,ABV,260,CDG,1382,Y,0,332,"(-6, 68)","(60, -76)"
ET,2220,ABV,260,COO,245,Y,0,DH8,"(-6, 68)","(33, -150)"
W3,20976,ABV,260,ENU,264,,0,73G,"(-6, 68)","(-67, 46)"
LH,3320,ABV,260,FRA,340,,0,343,"(-6, 68)","(-89, 160)"
W3,20976,ABV,260,GMO,\N,,0,CR9 DH4,"(-6, 68)","(-63, -107)"
W3,20976,ABV,260,IBA,266,,0,DH4,"(-6, 68)","(57, -30)"
W3,20976,ABV,260,ILR,267,,0,CR9,"(-6, 68)","(-67, 82)"
W3,20976,ABV,260,KAN,270,,0,CR9 DH4,"(-6, 68)","(-43, -115)"
ET,2220,ABV,260,LFW,298,Y,0,DH8,"(-6, 68)","(77, 179)"
BA,1355,ABV,260,LHR,507,,0,777,"(-6, 68)","(67, -118)"
W3,20976,ABV,260,LOS,273,,0,738 CR9 73G,"(-6, 68)","(37, -10)"
ET,2220,ABV,260,NDJ,999,Y,0,DH8,"(-6, 68)","(38, -130)"
ET,2220,ABV,260,NIM,280,Y,0,DH8,"(-6, 68)","(-73, -59)"
AF,137,ABV,260,PHC,275,,0,332,"(-6, 68)","(-29, 86)"
DL,2009,ABV,260,PHC,275,Y,0,332,"(-6, 68)","(-29, 86)"
KL,3090,ABV,260,PHC,275,Y,0,332,"(-6, 68)","(-29, 86)"
W3,20976,ABV,260,PHC,275,,0,73G,"(-6, 68)","(-29, 86)"
W3,20976,ABV,260,QOW,6730,,0,73G DH4,"(-6, 68)","(49, -170)"
W3,20976,ABV,260,QRW,6972,,0,DH4,"(-6, 68)","(-45, -114)"
W3,20976,ABV,260,SKO,276,,0,CR9 73G,"(-6, 68)","(-61, -135)"
LH,3320,ABV,260,SSG,891,,0,343,"(-6, 68)","(-62, 60)"
W3,20976,ABV,260,YOL,277,,0,CR9 73G,"(-6, 68)","(80, -31)"
ZL,4178,ABX,3333,MEL,3339,,0,SF3,"(42, -128)","(-66, 19)"
QF,4089,ABX,3333,SYD,3361,Y,0,DH3 DH4,"(42, -128)","(18, -144)"
VA,5360,ABX,3333,SYD,3361,Y,0,AT7,"(42, -128)","(18, -144)"
ZL,4178,ABX,3333,SYD,3361,,0,SF3,"(42, -128)","(18, -144)"
AF,137,ABY,5715,ATL,3682,Y,0,CRJ,"(28, 27)","(28, 49)"
AM,321,ABY,5715,ATL,3682,Y,0,CRJ,"(28, 27)","(28, 49)"
DL,2009,ABY,5715,ATL,3682,Y,0,CRJ,"(28, 27)","(28, 49)"
KL,3090,ABY,5715,ATL,3682,Y,0,CRJ,"(28, 27)","(28, 49)"
KL,3090,ABZ,532,AMS,580,,0,737 EMJ F70,"(48, -15)","(-87, -95)"
SK,4319,ABZ,532,BGO,636,Y,0,DH4 DH3,"(48, -15)","(-7, -144)"
WF,5439,ABZ,532,BGO,636,,0,DH4 DH3,"(48, -15)","(-7, -144)"
BE,2421,ABZ,532,BHD,467,,0,DH4,"(48, -15)","(-3, -129)"
BE,2421,ABZ,532,BHX,469,,0,E75 DH4,"(48, -15)","(2, -104)"
BM,312,ABZ,532,BRS,490,,0,ER4,"(48, -15)","(-58, 38)"
AF,137,ABZ,532,CDG,1382,,0,E70,"(48, -15)","(60, -76)"
AZ,596,ABZ,532,CDG,1382,Y,0,E70,"(48, -15)","(60, -76)"
BE,2421,ABZ,532,CDG,1382,Y,0,EMJ,"(48, -15)","(60, -76)"
SK,4319,ABZ,532,CPH,609,,0,CR9 CR2,"(48, -15)","(85, -135)"
EI,837,ABZ,532,DUB,599,Y,0,AT7,"(48, -15)","(-41, 121)"
BM,312,ABZ,532,EBJ,610,,0,ER4,"(48, -15)","(-64, 127)"
T3,2117,ABZ,532,EMA,523,,0,J41,"(48, -15)","(-39, -166)"
LH,3320,ABZ,532,FRA,340,,0,735,"(48, -15)","(-89, 160)"
T3,2117,ABZ,532,HUY,515,,0,J41 S20,"(48, -15)","(60, -117)"
BE,2421,ABZ,532,KOI,529,Y,0,S20 SF3,"(48, -15)","(85, 132)"
BM,312,ABZ,532,KSU,647,,0,ER4,"(48, -15)","(77, -28)"
T3,2117,ABZ,532,LBA,517,,0,J41,"(48, -15)","(53, -86)"
BA,1355,ABZ,532,LCY,503,Y,0,S20 E70,"(48, -15)","(-72, 57)"
U2,2297,ABZ,532,LGW,502,,0,319,"(48, -15)","(-23, -25)"
AA,24,ABZ,532,LHR,507,Y,0,321 320 319,"(48, -15)","(67, -118)"
BA,1355,ABZ,532,LHR,507,,0,321 320 319,"(48, -15)","(67, -118)"
IB,2822,ABZ,532,LHR,507,Y,0,320 319,"(48, -15)","(67, -118)"
UN,5067,ABZ,532,LHR,507,,0,333,"(48, -15)","(67, -118)"
VS,5347,ABZ,532,LHR,507,Y,0,320,"(48, -15)","(67, -118)"
BE,2421,ABZ,532,LSI,530,Y,0,SF3 S20,"(48, -15)","(54, 132)"
U2,2297,ABZ,532,LTN,492,,0,319 320,"(48, -15)","(-27, -15)"
BE,2421,ABZ,532,MAN,478,,0,E75 DH4,"(48, -15)","(-79, -178)"
BM,312,ABZ,532,MAN,478,,0,ER4,"(48, -15)","(-79, -178)"
T3,2117,ABZ,532,MME,522,,0,J41 S20,"(48, -15)","(-3, 116)"
T3,2117,ABZ,532,NCL,521,,0,ER4 J41 S20,"(48, -15)","(-12, -127)"
BM,312,ABZ,532,NWI,547,,0,ER4 ER3,"(48, -15)","(-31, -13)"
T3,2117,ABZ,532,NWI,547,,0,S20,"(48, -15)","(-31, -13)"
BM,312,ABZ,532,OSL,644,,0,ER3,"(48, -15)","(-82, -60)"
SK,4319,ABZ,532,OSL,644,,0,736 73W 73H,"(48, -15)","(-82, -60)"
BT,333,ABZ,532,RIX,3953,,0,735,"(48, -15)","(-61, 157)"
SK,4319,ABZ,532,SVG,666,,0,736 73G,"(48, -15)","(-15, -106)"
T3,2117,ABZ,532,SVG,666,,0,ER3 J41,"(48, -15)","(-15, -106)"
WF,5439,ABZ,532,SVG,666,,0,DH4,"(48, -15)","(-15, -106)"
T3,2117,ABZ,532,SYY,541,,0,J41,"(48, -15)","(32, 128)"
T3,2117,ABZ,532,WIC,531,,0,J41,"(48, -15)","(68, -62)"
UA,5209,ACA,1783,IAH,3550,Y,0,ERJ,"(46, -21)","(-46, 91)"
4O,17885,ACA,1783,MEX,1824,,0,320,"(46, -21)","(82, 12)"
AM,321,ACA,1783,MEX,1824,,0,737 ERJ E70 EMJ E75,"(46, -21)","(82, 12)"
VW,1290,ACA,1783,MEX,1824,,0,ATR,"(46, -21)","(82, 12)"
VB,10646,ACA,1783,MTY,1825,,0,733,"(46, -21)","(-19, -29)"
Y4,5325,ACA,1783,TIJ,1847,,0,319,"(46, -21)","(-86, 149)"
4O,17885,ACA,1783,TLC,1850,,0,320,"(46, -21)","(-18, -22)"
AM,321,ACA,1783,TLC,1850,Y,0,ERJ,"(46, -21)","(-18, -22)"
E2,20047,ACC,248,ABJ,253,,0,M82,"(8, -129)","(0, 78)"
EK,2183,ACC,248,ABJ,253,,0,77W,"(8, -129)","(0, 78)"
HF,2682,ACC,248,ABJ,253,,0,319 E70,"(8, -129)","(0, 78)"
ME,3490,ACC,248,ABJ,253,,0,332,"(8, -129)","(0, 78)"
MS,2143,ACC,248,ABJ,253,,0,738,"(8, -129)","(0, 78)"
S9,17099,ACC,248,ABJ,253,,0,143,"(8, -129)","(0, 78)"
SA,4305,ACC,248,ABJ,253,,0,332,"(8, -129)","(0, 78)"
TK,4951,ACC,248,ABJ,253,,0,739,"(8, -129)","(0, 78)"
W3,20976,ACC,248,ABV,260,,0,CR9,"(8, -129)","(-6, 68)"
ET,2220,ACC,248,ADD,1107,,0,738,"(8, -129)","(-41, -25)"
KL,3090,ACC,248,AMS,580,,0,330,"(8, -129)","(-87, -95)"
ME,3490,ACC,248,BEY,2177,,0,332,"(8, -129)","(-23, -124)"
MS,2143,ACC,248,CAI,1128,,0,738,"(8, -129)","(-53, 40)"
AT,4248,ACC,248,CMN,1074,,0,738 73G,"(8, -129)","(58, -133)"
HF,2682,ACC,248,COO,245,,0,E70 319,"(8, -129)","(33, -150)"
3G,595,ACC,248,DKR,1084,,0,319,"(8, -129)","(33, -146)"
KQ,3126,ACC,248,DKR,1084,,0,738,"(8, -129)","(33, -146)"
W3,20976,ACC,248,DKR,1084,,0,CR9,"(8, -129)","(33, -146)"
EK,2183,ACC,248,DXB,2188,,0,77W,"(8, -129)","(54, 166)"
AZ,596,ACC,248,FCO,1555,,0,330,"(8, -129)","(-81, -108)"
E2,20047,ACC,248,FNA,1059,,0,M82,"(8, -129)","(56, -66)"
ET,2220,ACC,248,FNA,1059,Y,0,DH8,"(8, -129)","(56, -66)"
KQ,3126,ACC,248,FNA,1059,,0,738,"(8, -129)","(56, -66)"
LH,3320,ACC,248,FRA,340,Y,0,333,"(8, -129)","(-89, 160)"
TK,4951,ACC,248,IST,1701,,0,739,"(8, -129)","(-28, 83)"
DL,2009,ACC,248,JFK,3797,,0,76W,"(8, -129)","(-43, -105)"
SA,4305,ACC,248,JNB,813,,0,332,"(8, -129)","(43, -52)"
5G,4496,ACC,248,KMS,5556,,0,AT7,"(8, -129)","(42, 156)"
AW,16960,ACC,248,KMS,5556,,0,ER4,"(8, -129)","(42, 156)"
O4,\N,ACC,248,KMS,5556,,0,ATR,"(8, -129)","(42, 156)"
S9,17099,ACC,248,KMS,5556,,0,143,"(8, -129)","(42, 156)"
ET,2220,ACC,248,LFW,298,Y,0,DH8,"(8, -129)","(77, 179)"
AA,24,ACC,248,LHR,507,Y,0,744,"(8, -129)","(67, -118)"
BA,1355,ACC,248,LHR,507,,0,744,"(8, -129)","(67, -118)"
TP,4869,ACC,248,LIS,1638,,0,320,"(8, -129)","(-38, -138)"
3G,595,ACC,248,LOS,273,,0,319,"(8, -129)","(37, -10)"
AW,16960,ACC,248,LOS,273,,0,ER4,"(8, -129)","(37, -10)"
W3,20976,ACC,248,LOS,273,,0,73G 738,"(8, -129)","(37, -10)"
WB,4292,ACC,248,LOS,273,,0,738,"(8, -129)","(37, -10)"
IB,2822,ACC,248,MAD,1229,,0,319,"(8, -129)","(-28, 174)"
ET,2220,ACC,248,MLW,1062,Y,0,DH8,"(8, -129)","(-55, 92)"
KQ,3126,ACC,248,NBO,4059,,0,738,"(8, -129)","(-39, -13)"
O4,\N,ACC,248,NYI,251,,0,ATR,"(8, -129)","(2, -151)"
2J,470,ACC,248,OUA,246,,0,CRJ,"(8, -129)","(59, -21)"
3G,595,ACC,248,ROB,1063,,0,319,"(8, -129)","(-78, 107)"
DL,2009,ACC,248,ROB,1063,,0,76W,"(8, -129)","(-78, 107)"
KQ,3126,ACC,248,ROB,1063,,0,738,"(8, -129)","(-78, 107)"
W3,20976,ACC,248,ROB,1063,,0,73G,"(8, -129)","(-78, 107)"
O4,\N,ACC,248,TKD,252,,0,ATR,"(8, -129)","(-80, -100)"
S9,17099,ACC,248,TKD,252,,0,143,"(8, -129)","(-80, -100)"
AW,16960,ACC,248,TML,249,,0,ER4,"(8, -129)","(17, -147)"
O4,\N,ACC,248,TML,249,,0,ATR,"(8, -129)","(17, -147)"
S9,17099,ACC,248,TML,249,,0,143,"(8, -129)","(17, -147)"
SW,153,ACC,248,WDH,4105,,0,319,"(8, -129)","(75, -180)"
HV,5039,ACE,1055,AMS,580,,0,73H,"(28, 165)","(-87, -95)"
FR,4296,ACE,1055,BCN,1218,,0,738,"(28, 165)","(27, 94)"
IB,2822,ACE,1055,BCN,1218,Y,0,320,"(28, 165)","(27, 94)"
VY,2439,ACE,1055,BCN,1218,,0,320,"(28, 165)","(27, 94)"
LS,3026,ACE,1055,BFS,465,,0,733,"(28, 165)","(-26, -130)"
TCX,4897,ACE,1055,BFS,465,,0,321,"(28, 165)","(-26, -130)"
FR,4296,ACE,1055,BGY,1525,,0,738,"(28, 165)","(81, 138)"
